"",gene_symbol,GSM4781322,GSM4781323,GSM4781324,GSM4781325,GSM4781326,GSM4781327,GSM4781328,GSM4781329
ENSG00000246876,LINC02466,0,0,0,0,0,0,0,0
ENSG00000246922,UBAP1L,435,459,187,722,283,383,402,690
ENSG00000246985,SOCS2-AS1,51,59,31,77,28,65,55,25
ENSG00000247077,PGAM5,1803,1474,2084,2021,1333,1182,982,2392
ENSG00000247081,LOC105369147,26,57,51,33,45,33,28,30
ENSG00000247095,MIR210HG,148,72,144,32,242,110,225,74
ENSG00000247131,LOC101928002,0,0,0,2,0,1,2,0
ENSG00000247137,LOC100506282,175,312,392,381,195,247,364,55
ENSG00000247151,CSTF3-DT,41,7,54,57,59,75,42,41
ENSG00000247157,LINC01252,61,90,37,57,47,63,87,30
ENSG00000247193,LOC439933,0,0,0,0,0,0,0,0
ENSG00000247199,LOC102546294,1,3,3,5,7,4,5,16
ENSG00000247213,LINC01498,15,1,0,2,5,1,1,0
ENSG00000247228,LOC400541,0,0,0,0,0,8,6,0
ENSG00000247240,UBL7-AS1,389,365,325,426,425,298,356,273
ENSG00000247271,ZBED5-AS1,89,135,113,64,118,97,75,47
ENSG00000247315,ZCCHC3,593,498,646,656,561,519,425,593
ENSG00000247363,LOC100507250,5,25,6,7,2,7,10,4
ENSG00000247400,DNAJC3-DT,74,227,114,46,93,118,80,26
ENSG00000247416,LOC101928847,19,17,8,28,12,14,34,0
ENSG00000247473,CARS1-AS1,0,0,0,0,0,0,0,1
ENSG00000247498,GPRC5D-AS1,116,160,61,98,109,75,137,95
ENSG00000247516,MIR4458HG,88,82,122,78,57,49,56,64
ENSG00000247556,OIP5-AS1,8284,10042,7928,7334,7560,8127,8594,7424
ENSG00000247572,CKMT2-AS1,249,301,205,403,315,228,252,248
ENSG00000247595,SPTY2D1OS,25,64,17,24,27,26,66,28
ENSG00000247596,TWF2,2388,1600,2615,2985,1752,1355,1216,2957
ENSG00000247626,MARS2,374,248,246,328,258,306,178,356
ENSG00000247627,MTND4P12,17,14,4,6,29,18,19,2
ENSG00000247675,LRP4-AS1,4,9,3,5,22,2,1,0
ENSG00000247708,STX18-AS1,169,144,52,97,115,113,109,54
ENSG00000247746,USP51,66,62,122,13,31,56,68,47
ENSG00000247763,TUBAP14,0,1,1,0,3,1,0,0
ENSG00000247774,PCED1B-AS1,7,27,12,20,17,18,22,2
ENSG00000247775,SNCA-AS1,0,0,0,0,7,0,1,0
ENSG00000247796,LOC257396,74,66,80,262,62,72,54,103
ENSG00000247809,NR2F2-AS1,304,308,196,70,210,325,382,96
ENSG00000247810,LOC101928721,0,0,0,0,0,0,0,0
ENSG00000247828,TMEM161B-AS1,403,558,333,280,478,413,441,218
ENSG00000247867,LOC283214,0,0,0,0,0,1,0,0
ENSG00000247911,HMGN1P12,0,0,0,0,0,0,0,0
ENSG00000247950,SEC24B-AS1,16,29,24,27,23,21,17,4
ENSG00000247982,LINC00926,133,139,18,71,89,82,144,60
ENSG00000248008,NRAV,388,286,278,950,211,207,234,864
ENSG00000248019,FAM13A-AS1,249,350,178,372,281,183,335,130
ENSG00000248027,ARHGAP42-AS1,3,2,2,0,0,1,3,0
ENSG00000248049,UBA6-AS1,419,503,362,533,434,267,332,614
ENSG00000248098,BCKDHA,1451,969,1481,1077,1348,956,1241,1877
ENSG00000248099,INSL3,0,0,2,3,0,0,0,0
ENSG00000248104,TARS2P1,0,0,0,0,0,0,0,0
ENSG00000248106,LOC100421074,0,0,0,0,0,0,0,0
ENSG00000248107,LINC02039,0,0,0,0,0,0,0,0
ENSG00000248109,MARCOL,0,0,0,0,3,0,0,0
ENSG00000248118,LINC01019,0,0,2,0,0,2,0,0
ENSG00000248132,LINC02101,0,0,0,0,0,0,0,0
ENSG00000248133,MTND4LP22,0,0,0,0,0,0,0,0
ENSG00000248136,MTND6P8,3,0,1,0,0,1,0,0
ENSG00000248143,LINC02383,0,0,0,0,0,0,0,0
ENSG00000248144,ADH1C,0,0,0,0,0,0,0,0
ENSG00000248150,LINC02150,1,3,0,3,1,0,1,0
ENSG00000248167,TRIM39-RPP21,0,0,0,0,0,0,0,0
ENSG00000248174,LINC02268,3,8,2,4,1,1,5,0
ENSG00000248185,LOC100420027,0,0,0,0,0,0,0,0
ENSG00000248188,LOC100288771,5,2,0,3,6,0,4,0
ENSG00000248191,PES1P1,0,0,0,0,0,0,0,0
ENSG00000248196,LOC100419572,0,0,3,0,0,0,0,6
ENSG00000248197,LINC00290,0,0,2,0,0,0,2,8
ENSG00000248202,LINC02234,0,0,0,0,3,0,1,8
ENSG00000248210,LINC02355,2,0,0,0,0,8,0,0
ENSG00000248221,STX18-IT1,18,15,3,19,14,15,17,21
ENSG00000248227,LINC02513,0,0,0,0,0,0,0,0
ENSG00000248228,SLIT2-IT1,18,24,9,13,20,35,46,12
ENSG00000248237,LOC100421808,0,0,0,0,0,0,0,0
ENSG00000248256,OCIAD1-AS1,0,0,0,0,0,0,0,0
ENSG00000248265,FLJ12825,122,99,81,159,47,74,73,91
ENSG00000248271,PGAM1P1,0,0,0,0,0,0,0,0
ENSG00000248275,TRIM52-AS1,85,83,171,75,140,102,86,86
ENSG00000248278,LOC105371814,3,1,3,4,17,1,1,12
ENSG00000248279,LINC02120,1,0,0,0,0,0,0,0
ENSG00000248282,MTCYBP44,1,0,0,0,0,0,0,0
ENSG00000248287,SCGB1D5P,0,0,0,0,0,0,0,0
